converted_country_name,discipline_title,medal_type,medal_count
Yugoslavia,Boxing,BRONZE,6
Mongolia,Judo,BRONZE,6
China,Trampoline,BRONZE,6
China,Short Track Speed Skating,BRONZE,6
Mexico,Diving,SILVER,6
Germany,Rowing,SILVER,6
United Kingdom,Cycling Road,BRONZE,6
Kazakhstan,Weightlifting,BRONZE,6
Mongolia,Wrestling,BRONZE,6
Netherlands,Athletics,SILVER,6
Sweden,Diving,GOLD,6
United Kingdom,Canoe Slalom,SILVER,6
Germany,Ski Jumping,BRONZE,6
Unified Team,Athletics,GOLD,6
Germany,Ski Jumping,GOLD,6
Italy,Sailing,BRONZE,5
Italy,Swimming,GOLD,5
Unified Team,Weightlifting,GOLD,5
Unified Team,Wrestling,BRONZE,5
France,Figure skating,BRONZE,5
Italy,Swimming,SILVER,5
Norway,Canoe Sprint,GOLD,5
United Kingdom,Skeleton,BRONZE,5
North Korea,Weightlifting,BRONZE,5
Belarus,Athletics,SILVER,5
North Korea,Weightlifting,GOLD,5
North Korea,Wrestling,BRONZE,5
Italy,Luge,GOLD,5
Italy,Luge,BRONZE,5
United Kingdom,Fencing,SILVER,5
Brazil,Athletics,GOLD,5
Belgium,Athletics,SILVER,5
Israel,Judo,BRONZE,5
United Kingdom,Cycling Road,SILVER,5
Germany,Equestrian Eventing,BRONZE,5
Austria,Shooting,BRONZE,5
Italy,Weightlifting,GOLD,5
Netherlands,Boxing,BRONZE,5
Australia,Shooting,GOLD,5
Australia,Shooting,BRONZE,5
United States,Short Track Speed Skating,BRONZE,5
Japan,Ski Jumping,SILVER,5
Japan,Speed skating,GOLD,5
United States,Taekwondo,BRONZE,5
Netherlands,Cycling Road,SILVER,5
Uzbekistan,Boxing,GOLD,5
Uzbekistan,Judo,BRONZE,5
Italy,Weightlifting,SILVER,5
Namibia,Athletics,SILVER,5
Russia,Tennis,SILVER,5
France,Archery,BRONZE,5
Morocco,Athletics,SILVER,5
Kazakhstan,Wrestling,SILVER,5
Yugoslavia,Gymnastics Artistic,GOLD,5
Kenya,Boxing,BRONZE,5
Algeria,Boxing,BRONZE,5
United States,Rowing,BRONZE,5
United States,Golf,GOLD,5
Austria,Athletics,BRONZE,5
United States,Golf,BRONZE,5
Egypt,Weightlifting,GOLD,5
France,Equestrian Jumping,GOLD,5
Russia,Modern Pentathlon,BRONZE,5
Russia,Modern Pentathlon,GOLD,5
Russia,Rowing,GOLD,5
Austria,Snowboard,GOLD,5
Austria,Ski Jumping,GOLD,5
Slovakia,Canoe Slalom,GOLD,5
New Zealand,Rowing,GOLD,5
Denmark,Cycling Track,GOLD,5
France,Canoe Slalom,BRONZE,5
Japan,Boxing,BRONZE,5
United States,Cycling Road,GOLD,5
Estonia,Wrestling,GOLD,5
Austria,Figure skating,GOLD,5
Austria,Fencing,BRONZE,5
United States,Equestrian Jumping,SILVER,5
Unified Team,Swimming,GOLD,5
Unified Team,Wrestling,SILVER,5
Canada,Judo,BRONZE,5
Switzerland,Cycling Mountain Bike,SILVER,5
Thailand,Weightlifting,GOLD,5
Switzerland,Shooting,GOLD,5
Poland,Weightlifting,SILVER,5
Spain,Athletics,SILVER,5
Türkiye,Taekwondo,BRONZE,5
Spain,Taekwondo,SILVER,5
Germany,Tennis,SILVER,5
Poland,Shooting,BRONZE,5
Hungary,Modern Pentathlon,GOLD,5
China,Boxing,SILVER,5
Cuba,Weightlifting,BRONZE,5
Poland,Canoe Sprint,BRONZE,5
Spain,Tennis,SILVER,5
Ukraine,Gymnastics Artistic,GOLD,5
China,Freestyle Skiing,GOLD,5
Canada,Freestyle Skiing,BRONZE,5
Romania,Shooting,BRONZE,5
Russia,Cycling Road,GOLD,5
Greece,Shooting,BRONZE,5
Czechia,Cross Country Skiing,BRONZE,5
Russia,Cycling Track,GOLD,5
Czechia,Cross Country Skiing,SILVER,5
Germany,Bobsleigh,SILVER,5
Russia,Cycling Track,SILVER,5
Puerto Rico,Boxing,BRONZE,5
Canada,Rowing,BRONZE,5
Poland,Wrestling,GOLD,5
Greece,Weightlifting,SILVER,5
Canada,Snowboard,GOLD,5
Canada,Snowboard,SILVER,5
Greece,Gymnastics Artistic,GOLD,5
Portugal,Athletics,GOLD,5
Unified Team,Shooting,GOLD,5
Georgia,Judo,SILVER,5
Canada,Short Track Speed Skating,GOLD,5
