converted_country_name,event_gender,medal_type,medal_count
Cameroon,Women,GOLD,2
Kyrgyz Republic,Men,SILVER,2
Bulgaria,Open,BRONZE,2
Latvia,Mixed,BRONZE,2
Lebanon,Men,BRONZE,2
Belgium,Women,SILVER,2
Lebanon,Men,SILVER,2
Bahrain,Women,SILVER,2
Liechtenstein,Women,GOLD,2
Bahrain,Women,GOLD,2
Lithuania,Women,BRONZE,2
Chile,Men,GOLD,2
Israel,Men,GOLD,2
Ireland,Women,SILVER,2
Denmark,Mixed,BRONZE,2
Fiji,Men,GOLD,2
Germany,Mixed,GOLD,2
Estonia,Women,BRONZE,2
Ecuador,Men,GOLD,2
Hong Kong,Women,SILVER,2
Hungary,Mixed,BRONZE,2
Denmark,Open,BRONZE,2
Czechia,Open,SILVER,2
Ireland,Women,BRONZE,2
Cote d'Ivoire,Women,BRONZE,2
Iceland,Men,SILVER,2
Independent Olympic Athletes,Men,BRONZE,2
Costa Rica,Women,BRONZE,2
India,Women,SILVER,2
Indonesia,Women,GOLD,2
China,Mixed,BRONZE,2
Luxembourg,Men,GOLD,2
France,Mixed,SILVER,2
Austria,Open,GOLD,2
Bahamas,Men,GOLD,2
Norway,Mixed,BRONZE,2
Norway,Mixed,SILVER,2
Norway,Open,BRONZE,2
Australia,Open,GOLD,2
Algeria,Women,GOLD,2
Austria,Mixed,SILVER,2
Panama,Men,BRONZE,2
Morocco,Women,BRONZE,2
Armenia,Men,GOLD,2
Moldova,Men,SILVER,2
Mexico,Women,GOLD,2
Mongolia,Women,SILVER,2
Mongolia,Men,GOLD,2
Czechia,Mixed,SILVER,1
Dominican Republic,Mixed,SILVER,1
Djibouti,Men,BRONZE,1
Argentina,Mixed,GOLD,1
Tunisia,Women,GOLD,1
Turkmenistan,Women,SILVER,1
Fiji,Women,BRONZE,1
Taiwan,Mixed,BRONZE,1
Zimbabwe,Women,BRONZE,1
Cuba,Open,SILVER,1
Cuba,Open,BRONZE,1
Yugoslavia,Women,BRONZE,1
Finland,Open,GOLD,1
Cote d'Ivoire,Men,SILVER,1
Argentina,Women,GOLD,1
Cote d'Ivoire,Men,GOLD,1
Uganda,Women,GOLD,1
Cyprus,Men,SILVER,1
Zambia,Men,BRONZE,1
Tajikistan,Men,BRONZE,1
Dominican Republic,Women,BRONZE,1
Tajikistan,Men,GOLD,1
Tajikistan,Men,SILVER,1
Tajikistan,Women,BRONZE,1
Estonia,Women,SILVER,1
Zambia,Men,SILVER,1
Estonia,Open,BRONZE,1
Eritrea,Men,BRONZE,1
Egypt,Women,SILVER,1
Egypt,Women,GOLD,1
Ecuador,Women,SILVER,1
Ecuador,Women,GOLD,1
Togo,Men,BRONZE,1
Tonga,Men,SILVER,1
Costa Rica,Women,SILVER,1
Ecuador,Men,SILVER,1
Algeria,Women,BRONZE,1
Dominican Republic,Women,SILVER,1
Bahamas,Women,BRONZE,1
Australasia,Women,GOLD,1
Costa Rica,Women,GOLD,1
Australasia,Men,GOLD,1
United Kingdom,Mixed,BRONZE,1
Cameroon,Women,BRONZE,1
Cameroon,Men,SILVER,1
Cameroon,Men,GOLD,1
Cameroon,Men,BRONZE,1
Burundi,Women,SILVER,1
Burundi,Men,GOLD,1
Burkina Faso,Men,BRONZE,1
Azerbaijan,Women,GOLD,1
Brazil,Open,SILVER,1
Botswana,Men,SILVER,1
Botswana,Men,BRONZE,1
Bahamas,Men,SILVER,1
Bermuda,Women,GOLD,1
Bermuda,Men,BRONZE,1
Barbados,Men,BRONZE,1
Uruguay,Men,GOLD,1
Bahamas,Open,BRONZE,1
United States Virgin Islands,Open,SILVER,1
Uzbekistan,Women,BRONZE,1
Finland,Open,SILVER,1
United Arab Emirates,Men,GOLD,1
Venezuela,Women,SILVER,1
Colombia,Open,SILVER,1
Colombia,Men,GOLD,1
Bahamas,Open,GOLD,1
China,Open,GOLD,1
Vietnam,Women,SILVER,1
Chile,Women,SILVER,1
Australasia,Women,SILVER,1
Vietnam,Men,GOLD,1
Chile,Open,SILVER,1
United Arab Emirates,Men,BRONZE,1
Venezuela,Women,GOLD,1
Unified Team,Mixed,BRONZE,1
Australia,Mixed,BRONZE,1
Unified Team,Mixed,GOLD,1
Unified Team,Mixed,SILVER,1
Canada,Open,GOLD,1
Austria,Mixed,BRONZE,1
Uzbekistan,Women,GOLD,1
Peru,Women,SILVER,1
Grenada,Men,SILVER,1
Syria,Women,GOLD,1
Senegal,Men,SILVER,1
Mauritius,Men,BRONZE,1
Malaysia,Women,SILVER,1
Malaysia,Women,BRONZE,1
MIX,Open,GOLD,1
Liechtenstein,Women,SILVER,1
Liechtenstein,Men,SILVER,1
Samoa,Women,SILVER,1
San Marino,Men,BRONZE,1
San Marino,Mixed,SILVER,1
San Marino,Women,BRONZE,1
Latvia,Women,SILVER,1
Latvia,Open,SILVER,1
Syria,Men,SILVER,1
Kyrgyz Republic,Women,BRONZE,1
Jordan,Men,SILVER,1
Jordan,Men,GOLD,1
Serbia and Montenegro,Men,BRONZE,1
Serbia and Montenegro,Men,GOLD,1
Serbia and Montenegro,Men,SILVER,1
Serbia and Montenegro,Women,BRONZE,1
Serbia and Montenegro,Women,GOLD,1
Jordan,Men,BRONZE,1
Singapore,Men,GOLD,1
Singapore,Men,SILVER,1
Mexico,Open,BRONZE,1
Romania,Open,GOLD,1
Romania,Open,BRONZE,1
Montenegro,Women,SILVER,1
Paraguay,Men,SILVER,1
Philippines,Women,GOLD,1
Panama,Men,GOLD,1
Pakistan,Men,SILVER,1
Pakistan,Men,GOLD,1
Poland,Mixed,GOLD,1
Norway,Mixed,GOLD,1
North Macedonia,Men,SILVER,1
North Macedonia,Men,BRONZE,1
North Korea,Open,GOLD,1
Nigeria,Women,GOLD,1
Portugal,Open,BRONZE,1
Nigeria,Men,GOLD,1
Niger,Men,SILVER,1
Niger,Men,BRONZE,1
New Zealand,Open,SILVER,1
Netherlands Antilles,Open,SILVER,1
Netherlands,Mixed,SILVER,1
Namibia,Women,SILVER,1
